team,overs,RR,Inns
RCB,49,9.4,5.06
RR,58,15.1,3.82
RR,59,10.3,5.61
Daredevils,66,13.4,4.82
Daredevils,67,17.1,3.9
KKR,67,15.2,4.36
RCB,68,16.1,4.2
RCB,70,17.1,4.07
RCB,70,15,4.66
Kings XI,73,15.5,4.61
Kochi,74,16.3,4.48
CSK,79,15.2,5.15
Daredevils,80,19.1,4.17
RR,81,15.2,5.28
Chargers,82,18.3,4.43
RCB,82,15.1,5.4
LSG,82,13.5,5.92
Daredevils,83,17.3,4.74
KKR,84/8,20,4.2
Daredevils,84,15.4,5.36
RR,85,16.1,5.25
MI,87,18.5,4.61
Daredevils,87,16.1,5.38
RCB,87,15.2,5.67
MI,87,12.5,6.77
Kings XI,88,15.1,5.8
Kings XI,88,13.4,6.43
GT,89,17.3,5.08
RR,90/9,20,4.5
Kings XI,92/8,20,4.6
RR,92,19.5,4.63
MI,92,19.2,4.75
RCB,92,19,4.84
MI,92,18.2,5.01
MI,92,16.3,5.57
MI,94/8,20,4.7
Kings XI,95/9,20,4.75
Daredevils,95,18.2,5.18
Daredevils,95,17.4,5.37
KKR,95,15.2,6.19
KKR,95,15.1,6.26
RCB,96/9,20,4.8
SRH,96,17.4,5.43
RR,97,18.3,5.24
CSK,97,16,6.06
Daredevils,98,17.4,5.54
Warriors,99/9,20,4.95
DC,99,16.2,6.06
Chargers,100,18.4,5.35
Chargers,100,14.4,6.81
RR,101/9,20,5.05
MI,101/9,20,5.05
KKR,101,19.4,5.13
LSG,101,16.3,6.12
KKR,101,14.3,6.96
Warriors,102/8,20,5.1
RR,102,19.5,5.14
CSK,103/9,20,5.15
RR,103,16.2,6.3
Chargers,104,19.2,5.37
Warriors,104,18.5,5.52
Guj Lions,104,18.4,5.57
RCB,105,20,5.25
KKR,105,18.2,5.72
Punjab Kings,106/8,20,5.3
Warriors,106,19.3,5.43
KKR,107,18.5,5.68
KKR,108/9,20,5.4
LSG,108,19.5,5.44
MI,108,19.1,5.63
Warriors,108,19,5.68
KKR,108,18.1,5.94
Supergiant,108,16.1,6.68
Kochi,109,20,5.45
KKR,109,19.2,5.63
CSK,109,19,5.73
RR,109,19,5.73
KKR,109,18.2,5.94
CSK,109,17.4,6.16
RCB,109,17,6.41
CSK,110/8,20,5.5
DC,110/9,20,5.5
Chargers,110,18.4,5.89
Daredevils,110,17.5,6.16
Kings XI,111/9,20,5.55
Daredevils,111,19.4,5.64
MI,111,18.1,6.11
Punjab Kings,111,15.3,7.16
CSK,112/8,20,5.6
Kings XI,112/8,20,5.6
RR,112/7,20,5.6
CSK,112/9,20,5.6
Kings XI,112/8,20,5.6
Warriors,112/8,20,5.6
KKR,112/9,20,5.6
CSK,112,19.5,5.64
RR,113/9,20,5.65
SRH,113,20,5.65
RCB,113,19.5,5.69
RR,113,19.3,5.79
SRH,113,18.3,6.1
MI,113,17.3,6.45
CSK,114/4,20,5.7
Daredevils,114/5,20,5.7
Daredevils,114/8,20,5.7
CSK,114/9,20,5.7
SRH,114,19.5,5.74
RCB,115/9,20,5.75
MI,115/9,20,5.75
RR,115/9,20,5.75
SRH,115/8,20,5.75
Punjab Kings,115,20,5.75
RCB,115,19.3,5.89
Warriors,115,19,6.05
Chargers,115,18.2,6.27
Daredevils,115,18.1,6.33
MI,116/9,20,5.8
MI,116/7,20,5.8
MI,116,20,5.8
CSK,116/9,20,5.8
Kings XI,116,19,6.1
SRH,116,18.5,6.15
KKR,116,16.2,7.1
Warriors,117/9,20,5.85
RR,117,19.4,5.94
DC,117,17.4,6.62
Warriors,118/7,20,5.9
Kings XI,118/8,20,5.9
SRH,118/8,20,5.9
SRH,118,18.4,6.32
RR,118,17.5,6.61
Warriors,118,17.2,6.8
Kings XI,119/8,20,5.95
Kings XI,119/9,20,5.95
Kings XI,119/6,20,5.95
Kings XI,119/8,20,5.95
Warriors,119/6,20,5.95
SRH,119/8,20,5.95
KKR,119/9,20,5.95
CSK,119/6,20,5.95
Kings XI,119,19.2,6.15
RCB,119,19,6.26
Kochi,119,18.5,6.31
Chargers,119,17.1,6.93
Daredevils,120/9,20,6
Kings XI,120/9,20,6
MI,120/9,20,6
CSK,120/7,20,6
Daredevils,120/7,20,6
Kings XI,120/9,20,6
RCB,120/7,20,6
SRH,120/7,20,6
Punjab Kings,120,19.4,6.1
SRH,120,16.4,7.2
Daredevils,120,16.3,7.27
MI,121/8,20,6.05
Daredevils,121/6,20,6.05
RR,121/6,20,6.05
SRH,121/8,20,6.05
SRH,121,19.2,6.25
RR,121,17.4,6.84
RCB,121,17,7.11
MI,122/7,20,6.1
RCB,122/9,20,6.1
KKR,123/8,20,6.15
RCB,123/9,20,6.15
RCB,123/9,20,6.15
Kings XI,123/9,20,6.15
Punjab Kings,123/9,20,6.15
SRH,123/8,20,6.15
RCB,123,17.4,6.96
MI,124/3,20,6.2
Kings XI,124/7,20,6.2
RCB,124/8,20,6.2
MI,124/9,20,6.2
KKR,124/8,20,6.2
RCB,124,19.4,6.3
Kings XI,124,18.5,6.58
Kochi,125/9,20,6.25
MI,125/8,20,6.25
Warriors,125/6,20,6.25
Warriors,125/9,20,6.25
CSK,125/9,20,6.25
MI,125/6,20,6.25
RR,125/9,20,6.25
CSK,125/5,20,6.25
Punjab Kings,125/7,20,6.25
GT,125/6,20,6.25
MI,125/9,20,6.25
SRH,125,19.2,6.46
KKR,125,19,6.57
RCB,126/8,20,6.3
MI,126/8,20,6.3
KKR,126/9,20,6.3
Chargers,126/7,20,6.3
RR,126/6,20,6.3
RR,126/8,20,6.3
SRH,126/6,20,6.3
Guj Lions,126/6,20,6.3
Kings XI,126/7,20,6.3
