Winner,Margin,balls rem,Target
Kings XI,1 run,0,190
Kings XI,1 run,0,135
Daredevils,1 run,0,153
MI,1 run,0,121
CSK,1 run,0,151
Guj Lions,1 run,0,173
RCB,1 run,0,176
MI,1 run,0,130
RCB,1 run,0,162
MI,1 run,0,150
RCB,1 run,0,172
LSG,1 run,0,177
KKR,1 run,0,223
SRH,1 run,0,202
RR,2 runs,0,146
RR,2 runs,0,160
CSK,2 runs,0,154
Kings XI,2 runs,0,135
RCB,2 runs,0,157
KKR,2 runs,0,151
CSK,2 runs,0,135
KKR,2 runs,0,165
RR,2 runs,0,186
LSG,2 runs,0,211
SRH,2 runs,0,183
LSG,2 runs,0,181
RCB,3 runs,0,157
CSK,3 runs,0,53
Kings XI,3 runs,0,120
Supergiant,3 runs,0,161
MI,3 runs,0,187
RR,3 runs,0,166
SRH,3 runs,0,194
RR,3 runs,0,176
MI,4 runs,0,213
Kings XI,4 runs,0,158
MI,4 runs,0,175
RCB,4 runs,0,184
SRH,4 runs,0,185
Daredevils,4 runs,0,168
SRH,4 runs,0,138
Kings XI,4 runs,0,198
CSK,4 runs,0,183
Kings XI,4 runs,0,144
Daredevils,4 runs,0,151
Punjab Kings,4 runs,0,222
SRH,4 runs,0,142
KKR,4 runs,0,209
DC,4 runs,0,225
LSG,4 runs,0,239
KKR,5 runs,0,130
RR,5 runs,0,166
SRH,5 runs,0,186
MI,5 runs,0,172
SRH,5 runs,0,160
SRH,5 runs,0,147
Punjab Kings,5 runs,0,126
MI,5 runs,0,178
Punjab Kings,5 runs,0,198
DC,5 runs,0,131
KKR,5 runs,0,172
LSG,5 runs,0,178
CSK,6 runs,0,209
Kings XI,6 runs,0,89
Chargers,6 runs,0,144
Chargers,6 runs,0,171
Kochi,6 runs,0,133
SRH,6 runs,0,164
MI,6 runs,0,188
RCB,6 runs,0,150
RCB,6 runs,0,165
LSG,6 runs,0,196
GT,6 runs,0,169
RR,6 runs,0,183
Kings XI,7 runs,0,157
KKR,7 runs,0,151
Warriors,7 runs,0,171
Kings XI,7 runs,0,172
CSK,7 runs,0,141
SRH,7 runs,0,202
KKR,7 runs,0,165
Kings XI,7 runs,0,231
Daredevils,7 runs,0,169
SRH,7 runs,0,165
RR,7 runs,0,218
Punjab Kings,7 runs,0,154
GT,7 runs,0,136
RCB,7 runs,0,190
DC,7 runs,0,145
RCB,8 runs,0,146
MI,8 runs,0,165
MI,8 runs,0,188
SRH,8 runs,0,209
CSK,8 runs,0,176
GT,8 runs,0,157
CSK,8 runs,0,227
Kings XI,9 runs,0,179
Daredevils,9 runs,0,190
MI,9 runs,0,149
KKR,9 runs,0,164
Chargers,9 runs,0,133
MI,9 runs,0,149
RR,9 runs,0,200
Kings XI,9 runs,0,182
MI,9 runs,0,174
SRH,9 runs,0,198
MI,9 runs,0,193
Daredevils,10 runs,0,192
RR,10 runs,0,212
Chargers,10 runs,0,172
KKR,10 runs,0,52
Chargers,10 runs,0,136
CSK,10 runs,0,161
RR,10 runs,0,171
Daredevils,10 runs,0,165
RCB,10 runs,0,162
RR,10 runs,0,71
RCB,10 runs,0,214
RCB,10 runs,0,164
KKR,10 runs,0,168
KKR,10 runs,0,188
MI,10 runs,0,153
LSG,10 runs,0,155
DC,10 runs,0,258
KKR,11 runs,0,69
KKR,11 runs,0,162
Chargers,11 runs,0,146
CSK,11 runs,0,153
SRH,11 runs,0,120
SRH,11 runs,0,152
Daredevils,11 runs,0,175
Punjab Kings,11 runs,0,188
Punjab Kings,11 runs,0,244
RCB,11 runs,0,206
Daredevils,12 runs,0,195
Chargers,12 runs,0,169
CSK,12 runs,0,187
Daredevils,12 runs,0,174
RCB,12 runs,0,171
CSK,12 runs,0,158
Supergiant,12 runs,0,149
Kings XI,12 runs,0,183
Kings XI,12 runs,0,127
LSG,12 runs,0,170
Punjab Kings,12 runs,0,199
CSK,12 runs,0,218
RR,12 runs,0,186
LSG,12 runs,0,204
RCB,12 runs,0,222
MI,12 runs,0,206
KKR,1 wicket,1,184
CSK,1 wicket,1,166
SRH,1 wicket,0,148
LSG,1 wicket,0,213
DC,1 wicket,3,210
RCB,2 wickets,2,130
MI,2 wickets,0,174
KKR,2 wickets,3,161
Daredevils,2 wickets,2,196
CSK,2 wickets,5,140
DC,2 wickets,1,163
RCB,2 wickets,0,160
CSK,2 wickets,0,172
Punjab Kings,2 wickets,3,160
RR,2 wickets,0,224
RR,3 wickets,1,215
RR,3 wickets,5,157
KKR,3 wickets,2,175
RR,3 wickets,0,164
RR,3 wickets,2,142
Kings XI,3 wickets,1,169
Daredevils,3 wickets,4,188
RCB,3 wickets,3,161
SRH,3 wickets,4,115
KKR,3 wickets,3,200
RCB,3 wickets,6,178
RR,3 wickets,0,185
CSK,3 wickets,1,140
Guj Lions,3 wickets,0,144
Guj Lions,3 wickets,0,196
RR,3 wickets,2,168
MI,3 wickets,0,198
RR,3 wickets,4,176
RR,3 wickets,2,148
KKR,3 wickets,10,128
DC,3 wickets,2,137
KKR,3 wickets,1,136
RCB,3 wickets,4,129
GT,3 wickets,1,170
CSK,3 wickets,0,156
KKR,3 wickets,0,205
RR,3 wickets,4,178
Punjab Kings,3 wickets,1,200
GT,3 wickets,0,197
RR,3 wickets,1,148
GT,3 wickets,5,143
Kings XI,4 wickets,3,159
CSK,4 wickets,0,188
KKR,4 wickets,3,102
Daredevils,4 wickets,15,166
MI,4 wickets,3,164
Warriors,4 wickets,7,149
Daredevils,4 wickets,6,176
RCB,4 wickets,3,102
MI,4 wickets,4,148
MI,4 wickets,1,169
Kings XI,4 wickets,1,159
CSK,4 wickets,11,127
Kings XI,4 wickets,0,191
CSK,4 wickets,1,166
CSK,4 wickets,5,120
RR,4 wickets,1,172
RR,4 wickets,4,133
MI,4 wickets,1,166
RR,4 wickets,3,134
Daredevils,4 wickets,3,167
RCB,4 wickets,1,156
CSK,4 wickets,3,158
Kings XI,4 wickets,2,165
KKR,4 wickets,34,161
KKR,4 wickets,13,156
Supergiants,4 wickets,0,173
RCB,4 wickets,10,159
SRH,4 wickets,4,163
MI,4 wickets,1,179
MI,4 wickets,8,159
MI,4 wickets,7,143
KKR,4 wickets,1,169
Guj Lions,4 wickets,10,188
Supergiant,4 wickets,4,156
KKR,4 wickets,7,177
RCB,4 wickets,3,156
RR,4 wickets,1,177
DC,4 wickets,7,150
CSK,4 wickets,0,152
RR,4 wickets,3,188
RCB,4 wickets,4,176
RR,4 wickets,3,224
MI,4 wickets,0,219
DC,4 wickets,5,130
CSK,4 wickets,2,173
KKR,4 wickets,2,139
DC,4 wickets,10,178
RCB,4 wickets,5,170
DC,4 wickets,6,147
DC,4 wickets,4,128
Punjab Kings,4 wickets,0,201
SRH,4 wickets,0,215
RR,4 wickets,2,188
Punjab Kings,4 wickets,4,175
RCB,4 wickets,4,177
LSG,4 wickets,4,145
RCB,4 wickets,38,148
SRH,4 wickets,5,215
RR,4 wickets,6,173
CSK,4 wickets,5,156
MI,4 wickets,11,163
KKR,5 wickets,6,111
RCB,5 wickets,2,166
Daredevils,5 wickets,10,155
Daredevils,5 wickets,1,177
RCB,5 wickets,6,166
RR,5 wickets,0,146
RR,5 wickets,9,144
RCB,5 wickets,1,140
Daredevils,5 wickets,1,143
CSK,5 wickets,5,186
MI,5 wickets,6,181
CSK,5 wickets,6,162
RCB,5 wickets,26,131
Chargers,5 wickets,5,175
Warriors,5 wickets,17,120
MI,5 wickets,0,176
MI,5 wickets,0,139
CSK,5 wickets,0,206
KKR,5 wickets,4,132
RR,5 wickets,2,197
Daredevils,5 wickets,5,158
RCB,5 wickets,3,164
KKR,5 wickets,6,127
MI,5 wickets,11,101
KKR,5 wickets,2,140
RCB,5 wickets,7,182
MI,5 wickets,2,172
CSK,5 wickets,0,159
Daredevils,5 wickets,6,137
Chargers,5 wickets,8,127
KKR,5 wickets,2,191
SRH,5 wickets,7,124
CSK,5 wickets,1,186
Kings XI,5 wickets,18,121
MI,5 wickets,1,160
CSK,5 wickets,2,160
RR,5 wickets,1,179
MI,5 wickets,7,113
KKR,5 wickets,4,116
RR,5 wickets,17,142
SRH,5 wickets,7,131
CSK,5 wickets,3,146
Kings XI,5 wickets,7,125
CSK,4 wickets,0,188
RR,5 wickets,0,146
RR,3 wickets,0,164
Kings XI,6 wickets,0,154
Chargers,6 wickets,0,161
KKR,7 wickets,0,189
MI,7 wickets,0,119
MI,5 wickets,0,176
MI,5 wickets,0,139
CSK,5 wickets,0,206
RCB,6 wickets,0,183
CSK,7 wickets,0,147
MI,2 wickets,0,174
Kings XI,4 wickets,0,191
CSK,5 wickets,0,159
RR,3 wickets,0,185
RR,6 wickets,0,128
Guj Lions,3 wickets,0,144
Guj Lions,3 wickets,0,196
Daredevils,6 wickets,0,159
Supergiants,4 wickets,0,173
Supergiant,6 wickets,0,177
SRH,1 wicket,0,148
Daredevils,7 wickets,0,195
MI,3 wickets,0,198
CSK,4 wickets,0,152
Kings XI,8 wickets,0,172
CSK,6 wickets,0,173
RCB,2 wickets,0,160
MI,4 wickets,0,219
CSK,2 wickets,0,172
RCB,7 wickets,0,165
GT,6 wickets,0,190
CSK,3 wickets,0,156
GT,5 wickets,0,196
KKR,3 wickets,0,205
LSG,1 wicket,0,213
MI,6 wickets,0,173
Punjab Kings,4 wickets,0,201
SRH,4 wickets,0,215
KKR,5 wickets,0,180
CSK,5 wickets,0,171
GT,3 wickets,0,197
RR,2 wickets,0,224
RR,3 wickets,1,215
Daredevils,5 wickets,1,177
RCB,5 wickets,1,140
Kings XI,3 wickets,1,169
Daredevils,5 wickets,1,143
MI,4 wickets,1,169
Kings XI,4 wickets,1,159
CSK,4 wickets,1,166
Kings XI,7 wickets,1,186
CSK,5 wickets,1,186
MI,5 wickets,1,160
RR,4 wickets,1,172
RR,5 wickets,1,179
MI,4 wickets,1,166
RCB,4 wickets,1,156
RCB,5 wickets,1,139
Daredevils,5 wickets,1,166
KKR,7 wickets,1,166
KKR,1 wicket,1,184
RCB,6 wickets,1,81
CSK,3 wickets,1,140
Supergiant,7 wickets,1,185
MI,4 wickets,1,179
KKR,4 wickets,1,169
MI,5 wickets,1,163
Supergiant,5 wickets,1,162
CSK,1 wicket,1,166
CSK,5 wickets,1,203
SRH,7 wickets,1,164
RR,4 wickets,1,177
RR,7 wickets,1,159
Kings XI,6 wickets,1,151
CSK,6 wickets,1,176
DC,2 wickets,1,163
RR,5 wickets,1,159
DC,5 wickets,1,180
KKR,3 wickets,1,136
GT,3 wickets,1,170
GT,6 wickets,1,154
Punjab Kings,3 wickets,1,200
RR,3 wickets,1,148
RCB,5 wickets,2,166
KKR,3 wickets,2,175
RR,3 wickets,2,142
RCB,2 wickets,2,130
CSK,6 wickets,2,193
CSK,6 wickets,2,176
RR,5 wickets,2,197
KKR,5 wickets,2,140
MI,5 wickets,2,172
KKR,5 wickets,2,191
CSK,5 wickets,2,160
CSK,8 wickets,2,179
CSK,5 wickets,2,149
KKR,7 wickets,2,143
Kings XI,4 wickets,2,165
SRH,7 wickets,2,161
SRH,6 wickets,2,186
RCB,7 wickets,2,112
SRH,7 wickets,2,180
Guj Lions,6 wickets,2,190
Daredevils,2 wickets,2,196
RR,3 wickets,2,168
CSK,5 wickets,2,206
MI,8 wickets,2,170
KKR,5 wickets,2,173
KKR,6 wickets,2,182
CSK,6 wickets,2,148
CSK,5 wickets,2,162
DC,5 wickets,2,164
MI,5 wickets,2,163
RCB,7 wickets,2,178
SRH,6 wickets,2,132
RR,3 wickets,2,148
CSK,6 wickets,2,135
KKR,6 wickets,2,116
DC,3 wickets,2,137
CSK,4 wickets,2,173
KKR,4 wickets,2,139
GT,5 wickets,2,159
LSG,6 wickets,2,150
RR,6 wickets,2,190
RR,5 wickets,2,151
RR,4 wickets,2,188
Kings XI,4 wickets,3,159
Kings XI,6 wickets,3,176
Chargers,6 wickets,3,166
KKR,4 wickets,3,102
MI,4 wickets,3,164
RCB,3 wickets,3,161
CSK,8 wickets,3,142
RR,6 wickets,3,144
RCB,4 wickets,3,102
RCB,5 wickets,3,164
Kings XI,6 wickets,3,164
MI,7 wickets,3,179
RR,4 wickets,3,134
Daredevils,4 wickets,3,167
CSK,5 wickets,3,146
CSK,4 wickets,3,158
KKR,3 wickets,3,200
MI,5 wickets,3,153
Guj Lions,6 wickets,3,181
KKR,2 wickets,3,161
RCB,7 wickets,3,192
MI,6 wickets,3,177
KKR,RR,"Newlands, Cape Town",23 Apr 2009
CSK,Kings XI,"MA Chidambaram Stadium, Chepauk, Chennai",21 Mar 2010
SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7 Apr 2013
RCB,Daredevils,"M.Chinnaswamy Stadium, Bengaluru",16 Apr 2013
KKR,RR,"Zayed Cricket Stadium, Abu Dhabi",29 Apr 2014
RR,Kings XI,"Narendra Modi Stadium, Motera, Ahmedabad",21 Apr 2015
Guj Lions,MI,"Niranjan Shah Stadium, Rajkot",29 Apr 2017
DC,KKR,"Arun Jaitley Stadium, Delhi",30 Mar 2019
MI,SRH,"Wankhede Stadium, Mumbai",2 May 2019
DC,Kings XI,Dubai International Cricket Stadium,20 Sep 2020
RCB,MI,Dubai International Cricket Stadium,28 Sep 2020
SRH,KKR,"Zayed Cricket Stadium, Abu Dhabi",18 Oct 2020
MI,Kings XI,Dubai International Cricket Stadium,18 Oct 2020
SRH,DC,"MA Chidambaram Stadium, Chepauk, Chennai",25 Apr 2021
DC,RR,"Arun Jaitley Stadium, Delhi",16 Apr 2025
